ec_time,ec_mem,overall_lat,emu_startup,rewind,emu_reset,replay,rewind_injections,pkt_lat,drop_lat,timeout,arity,update_pct,procs,drop_method,num_nodes,num_links,num_updates,total_conn,invariant,independent_cec,violated,total_time,total_mem
666979,154144,260142,234093,27,0,0,-1,136,0,226,12,50,8,timeout,2337,3452,430,7549,1,431,True,1008841,156412
666979,154144,26934,1,7,0,0,-1,57,0,256,12,50,8,timeout,2337,3452,430,7549,1,431,True,1008841,156412
666979,154144,331966,0,322455,322450,0,0,0,568,254,12,50,8,timeout,2337,3452,430,7549,1,431,True,1008841,156412
698015,154188,225128,211150,16,0,0,-1,71,0,226,12,50,8,timeout,2337,3452,430,7549,1,431,True,1008841,156412
698015,154188,36744,0,3,0,0,-1,96,0,213,12,50,8,timeout,2337,3452,430,7549,1,431,True,1008841,156412
698015,154188,373238,0,364257,364252,0,0,0,290,205,12,50,8,timeout,2337,3452,430,7549,1,431,True,1008841,156412
701129,153996,224144,209470,37,0,0,-1,62,0,226,12,50,8,timeout,2337,3452,430,7549,1,431,True,1008841,156412
701129,153996,34349,1,4,0,0,-1,69,0,222,12,50,8,timeout,2337,3452,430,7549,1,431,True,1008841,156412
701129,153996,375109,0,368365,368362,0,0,0,280,205,12,50,8,timeout,2337,3452,430,7549,1,431,True,1008841,156412
699599,153808,250446,220125,24,0,0,-1,136,0,226,12,50,8,timeout,2337,3452,430,7549,1,431,True,1008841,156412
699599,153808,26864,0,3,0,0,-1,87,0,256,12,50,8,timeout,2337,3452,430,7549,1,431,True,1008841,156412
699599,153808,357455,0,350482,350478,0,0,0,309,235,12,50,8,timeout,2337,3452,430,7549,1,431,True,1008841,156412
623989,147212,206171,173845,43,0,0,-1,116,0,193,10,100,1,dropmon,1372,1996,498,4489,1,249,True,863124,149308
623989,147212,30647,1,4,0,0,-1,89,0,216,10,100,1,dropmon,1372,1996,498,4489,1,249,True,863124,149308
623989,147212,356016,0,345374,345369,0,0,0,141,202,10,100,1,dropmon,1372,1996,498,4489,1,249,True,863124,149308
598772,140572,193371,174323,30,0,0,-1,84,0,181,6,50,4,dropmon,312,428,52,934,1,53,True,885124,142832
