inv_time,inv_memory,network,procs,drop_method,num_nodes,num_links,num_updates,total_conn,invariant,independent_cec,violated,total_time,total_mem
616362,14844,network-all,1,timeout,236,524,0,7349,1041,3606,True,112994761,149340
62652,14844,network-all,1,timeout,236,524,0,7349,694,3606,True,112994761,149340
61683,14844,network-all,1,timeout,236,524,0,7349,858,3606,True,112994761,149340
64929,14844,network-all,1,timeout,236,524,0,7349,283,3606,True,112994761,149340
58672,14844,network-all,1,timeout,236,524,0,7349,714,3606,True,112994761,149340
66139,14844,network-all,1,timeout,236,524,0,7349,462,3606,True,112994761,149340
61156,14844,network-all,1,timeout,236,524,0,7349,748,3606,True,112994761,149340
57160,14844,network-all,1,timeout,236,524,0,7349,231,3606,True,112994761,149340
59151,14844,network-all,1,timeout,236,524,0,7349,345,3606,True,112994761,149340
64287,14844,network-all,1,timeout,236,524,0,7349,392,3606,True,112994761,149340
59567,14844,network-all,1,timeout,236,524,0,7349,126,3606,True,112994761,149340
66224,14844,network-all,1,timeout,236,524,0,7349,869,3606,True,112994761,149340
62225,14844,network-all,1,timeout,236,524,0,7349,801,3606,True,112994761,149340
66859,14844,network-all,1,timeout,236,524,0,7349,347,3606,True,112994761,149340
952426,14844,network-all,1,timeout,236,524,0,7349,1037,3606,True,112994761,149340
62594,14844,network-all,1,timeout,236,524,0,7349,237,3606,True,112994761,149340
63380,14844,network-all,1,timeout,236,524,0,7349,652,3606,True,112994761,149340
62025,14844,network-all,1,timeout,236,524,0,7349,428,3606,True,112994761,149340
59734,14844,network-all,1,timeout,236,524,0,7349,414,3606,True,112994761,149340
61889,14844,network-all,1,timeout,236,524,0,7349,684,3606,True,112994761,149340
61313,14844,network-all,1,timeout,236,524,0,7349,804,3606,True,112994761,149340
57548,14844,network-all,1,timeout,236,524,0,7349,36,3606,True,112994761,149340
63299,14844,network-all,1,timeout,236,524,0,7349,808,3606,True,112994761,149340
61651,14844,network-all,1,timeout,236,524,0,7349,908,3606,True,112994761,149340
69562,14844,network-all,1,timeout,236,524,0,7349,445,3606,True,112994761,149340
60553,14844,network-all,1,timeout,236,524,0,7349,425,3606,True,112994761,149340
641599,14844,network-all,1,timeout,236,524,0,7349,1045,3606,True,112994761,149340
59175,14844,network-all,1,timeout,236,524,0,7349,829,3606,True,112994761,149340
59478,14844,network-all,1,timeout,236,524,0,7349,358,3606,True,112994761,149340
63508,14844,network-all,1,timeout,236,524,0,7349,337,3606,True,112994761,149340
59442,14844,network-all,1,timeout,236,524,0,7349,82,3606,True,112994761,149340
85794,14844,network-all,1,timeout,236,524,0,7349,880,3606,True,112994761,149340
58922,14844,network-all,1,timeout,236,524,0,7349,128,3606,True,112994761,149340
61729,14844,network-all,1,timeout,236,524,0,7349,666,3606,True,112994761,149340
60713,14844,network-all,1,timeout,236,524,0,7349,406,3606,True,112994761,149340
64817,14844,network-all,1,timeout,236,524,0,7349,324,3606,True,112994761,149340
60079,14844,network-all,1,timeout,236,524,0,7349,929,3606,True,112994761,149340
59866,14844,network-all,1,timeout,236,524,0,7349,141,3606,True,112994761,149340
62616,14844,network-all,1,timeout,236,524,0,7349,709,3606,True,112994761,149340
60602,14844,network-all,1,timeout,236,524,0,7349,928,3606,True,112994761,149340
58978,14844,network-all,1,timeout,236,524,0,7349,166,3606,True,112994761,149340
58307,14844,network-all,1,timeout,236,524,0,7349,233,3606,True,112994761,149340
63565,14844,network-all,1,timeout,236,524,0,7349,289,3606,True,112994761,149340
59239,14844,network-all,1,timeout,236,524,0,7349,217,3606,True,112994761,149340
60416,14844,network-all,1,timeout,236,524,0,7349,682,3606,True,112994761,149340
59764,14844,network-all,1,timeout,236,524,0,7349,574,3606,True,112994761,149340
61322,14844,network-all,1,timeout,236,524,0,7349,779,3606,True,112994761,149340
59339,14844,network-all,1,timeout,236,524,0,7349,510,3606,True,112994761,149340
60167,14844,network-all,1,timeout,236,524,0,7349,947,3606,True,112994761,149340
63343,14844,network-all,1,timeout,236,524,0,7349,379,3606,True,112994761,149340
57520,14844,network-all,1,timeout,236,524,0,7349,619,3606,True,112994761,149340
