inv_time,inv_memory,network,emulated_pct,fw_leaves_pct,invariants,procs,drop_method,num_nodes,num_links,num_updates,total_conn,invariant,independent_cec,violated,total_time,total_mem
289542,119000,rocketfuel-bb-AS-1239,20,20,16,1,timeout,315,972,0,137052,16,1,False,8150441,253640
339087,119000,rocketfuel-bb-AS-1239,20,20,16,1,timeout,315,972,0,137052,5,1,False,8150441,253640
642485,119000,rocketfuel-bb-AS-1239,20,20,16,1,timeout,315,972,0,137052,4,1,False,8150441,253640
715667,119144,rocketfuel-bb-AS-1239,20,20,16,1,timeout,315,972,0,137052,1,1,False,8150441,253640
360290,119000,rocketfuel-bb-AS-1239,20,20,16,1,timeout,315,972,0,137052,9,1,False,8150441,253640
404290,119000,rocketfuel-bb-AS-1239,20,20,16,1,timeout,315,972,0,137052,8,1,False,8150441,253640
381709,119144,rocketfuel-bb-AS-1239,20,20,16,1,timeout,315,972,0,137052,12,1,True,8150441,253640
371630,119000,rocketfuel-bb-AS-1239,20,20,16,1,timeout,315,972,0,137052,15,1,False,8150441,253640
444181,119144,rocketfuel-bb-AS-1239,20,20,16,1,timeout,315,972,0,137052,7,1,True,8150441,253640
650918,119000,rocketfuel-bb-AS-1239,20,20,16,1,timeout,315,972,0,137052,11,1,False,8150441,253640
510376,119000,rocketfuel-bb-AS-1239,20,20,16,1,timeout,315,972,0,137052,6,1,False,8150441,253640
289641,119000,rocketfuel-bb-AS-1239,20,20,16,1,timeout,315,972,0,137052,10,1,False,8150441,253640
325537,119000,rocketfuel-bb-AS-1239,20,20,16,1,timeout,315,972,0,137052,2,1,False,8150441,253640
640725,119000,rocketfuel-bb-AS-1239,20,20,16,1,timeout,315,972,0,137052,14,1,False,8150441,253640
610498,119000,rocketfuel-bb-AS-1239,20,20,16,1,timeout,315,972,0,137052,13,1,False,8150441,253640
686537,119144,rocketfuel-bb-AS-1239,20,20,16,1,timeout,315,972,0,137052,3,1,True,8150441,253640
651757,12424,as-733,20,20,16,1,timeout,103,239,0,33699,16,1,True,11493996,146776
258101,12424,as-733,20,20,16,1,timeout,103,239,0,33699,5,1,False,11493996,146776
958673,12424,as-733,20,20,16,1,timeout,103,239,0,33699,4,1,True,11493996,146776
882404,12424,as-733,20,20,16,1,timeout,103,239,0,33699,1,1,False,11493996,146776
1010934,12424,as-733,20,20,16,1,timeout,103,239,0,33699,9,1,True,11493996,146776
342888,12424,as-733,20,20,16,1,timeout,103,239,0,33699,8,1,False,11493996,146776
940272,12424,as-733,20,20,16,1,timeout,103,239,0,33699,12,1,True,11493996,146776
831109,12424,as-733,20,20,16,1,timeout,103,239,0,33699,15,1,False,11493996,146776
1168007,12424,as-733,20,20,16,1,timeout,103,239,0,33699,7,1,True,11493996,146776
305442,12424,as-733,20,20,16,1,timeout,103,239,0,33699,11,1,False,11493996,146776
275654,12424,as-733,20,20,16,1,timeout,103,239,0,33699,6,1,False,11493996,146776
291249,12280,as-733,20,20,16,1,timeout,103,239,0,33699,10,1,False,11493996,146776
845412,12424,as-733,20,20,16,1,timeout,103,239,0,33699,2,1,False,11493996,146776
1158373,12424,as-733,20,20,16,1,timeout,103,239,0,33699,14,1,True,11493996,146776
1177813,12424,as-733,20,20,16,1,timeout,103,239,0,33699,13,1,False,11493996,146776
286134,12424,as-733,20,20,16,1,timeout,103,239,0,33699,3,1,False,11493996,146776
694193,9332,rocketfuel-bb-AS-1221,8,20,16,1,timeout,108,153,0,21573,16,1,False,8428640,143828
325728,9332,rocketfuel-bb-AS-1221,8,20,16,1,timeout,108,153,0,21573,5,1,False,8428640,143828
325673,9332,rocketfuel-bb-AS-1221,8,20,16,1,timeout,108,153,0,21573,4,1,False,8428640,143828
311155,9332,rocketfuel-bb-AS-1221,8,20,16,1,timeout,108,153,0,21573,1,1,False,8428640,143828
460621,9332,rocketfuel-bb-AS-1221,8,20,16,1,timeout,108,153,0,21573,9,1,True,8428640,143828
366827,9332,rocketfuel-bb-AS-1221,8,20,16,1,timeout,108,153,0,21573,8,1,False,8428640,143828
952396,9332,rocketfuel-bb-AS-1221,8,20,16,1,timeout,108,153,0,21573,12,1,True,8428640,143828
933431,9332,rocketfuel-bb-AS-1221,8,20,16,1,timeout,108,153,0,21573,15,1,False,8428640,143828
766916,9332,rocketfuel-bb-AS-1221,8,20,16,1,timeout,108,153,0,21573,7,1,True,8428640,143828
316617,9332,rocketfuel-bb-AS-1221,8,20,16,1,timeout,108,153,0,21573,11,1,False,8428640,143828
404571,9332,rocketfuel-bb-AS-1221,8,20,16,1,timeout,108,153,0,21573,6,1,False,8428640,143828
398034,9332,rocketfuel-bb-AS-1221,8,20,16,1,timeout,108,153,0,21573,10,1,False,8428640,143828
341294,9332,rocketfuel-bb-AS-1221,8,20,16,1,timeout,108,153,0,21573,2,1,False,8428640,143828
1027128,9332,rocketfuel-bb-AS-1221,8,20,16,1,timeout,108,153,0,21573,14,1,True,8428640,143828
402934,9332,rocketfuel-bb-AS-1221,8,20,16,1,timeout,108,153,0,21573,13,1,True,8428640,143828
302248,9332,rocketfuel-bb-AS-1221,8,20,16,1,timeout,108,153,0,21573,3,1,False,8428640,143828
397818,21632,rocketfuel-bb-AS-3257,20,20,16,1,timeout,161,328,0,46248,16,1,True,8302054,155840
291353,21488,rocketfuel-bb-AS-3257,20,20,16,1,timeout,161,328,0,46248,5,1,False,8302054,155840
345863,21632,rocketfuel-bb-AS-3257,20,20,16,1,timeout,161,328,0,46248,4,1,True,8302054,155840
625359,21632,rocketfuel-bb-AS-3257,20,20,16,1,timeout,161,328,0,46248,1,1,False,8302054,155840
316913,21488,rocketfuel-bb-AS-3257,20,20,16,1,timeout,161,328,0,46248,9,1,False,8302054,155840
626985,21488,rocketfuel-bb-AS-3257,20,20,16,1,timeout,161,328,0,46248,8,1,False,8302054,155840
364352,21632,rocketfuel-bb-AS-3257,20,20,16,1,timeout,161,328,0,46248,12,1,True,8302054,155840
321904,21632,rocketfuel-bb-AS-3257,20,20,16,1,timeout,161,328,0,46248,15,1,True,8302054,155840
583220,21488,rocketfuel-bb-AS-3257,20,20,16,1,timeout,161,328,0,46248,7,1,False,8302054,155840
652400,21488,rocketfuel-bb-AS-3257,20,20,16,1,timeout,161,328,0,46248,11,1,False,8302054,155840
303581,21488,rocketfuel-bb-AS-3257,20,20,16,1,timeout,161,328,0,46248,6,1,False,8302054,155840
291143,21488,rocketfuel-bb-AS-3257,20,20,16,1,timeout,161,328,0,46248,10,1,False,8302054,155840
666166,21632,rocketfuel-bb-AS-3257,20,20,16,1,timeout,161,328,0,46248,2,1,True,8302054,155840
727826,21632,rocketfuel-bb-AS-3257,20,20,16,1,timeout,161,328,0,46248,14,1,True,8302054,155840
942865,21632,rocketfuel-bb-AS-3257,20,20,16,1,timeout,161,328,0,46248,13,1,True,8302054,155840
660617,21488,rocketfuel-bb-AS-3257,20,20,16,1,timeout,161,328,0,46248,3,1,False,8302054,155840
325457,10120,rocketfuel-bb-AS-1755,20,20,16,1,timeout,87,161,0,22701,16,1,False,6327657,144472
387836,10120,rocketfuel-bb-AS-1755,20,20,16,1,timeout,87,161,0,22701,5,1,False,6327657,144472
312240,10120,rocketfuel-bb-AS-1755,20,20,16,1,timeout,87,161,0,22701,4,1,False,6327657,144472
318686,10264,rocketfuel-bb-AS-1755,20,20,16,1,timeout,87,161,0,22701,1,1,True,6327657,144472
570342,10264,rocketfuel-bb-AS-1755,20,20,16,1,timeout,87,161,0,22701,9,1,True,6327657,144472
273343,10120,rocketfuel-bb-AS-1755,20,20,16,1,timeout,87,161,0,22701,8,1,False,6327657,144472
318322,10120,rocketfuel-bb-AS-1755,20,20,16,1,timeout,87,161,0,22701,12,1,False,6327657,144472
323033,10264,rocketfuel-bb-AS-1755,20,20,16,1,timeout,87,161,0,22701,15,1,True,6327657,144472
270526,10120,rocketfuel-bb-AS-1755,20,20,16,1,timeout,87,161,0,22701,7,1,False,6327657,144472
312987,10264,rocketfuel-bb-AS-1755,20,20,16,1,timeout,87,161,0,22701,11,1,True,6327657,144472
590082,10264,rocketfuel-bb-AS-1755,20,20,16,1,timeout,87,161,0,22701,6,1,True,6327657,144472
664492,10264,rocketfuel-bb-AS-1755,20,20,16,1,timeout,87,161,0,22701,10,1,True,6327657,144472
331971,10120,rocketfuel-bb-AS-1755,20,20,16,1,timeout,87,161,0,22701,2,1,False,6327657,144472
606686,10264,rocketfuel-bb-AS-1755,20,20,16,1,timeout,87,161,0,22701,14,1,True,6327657,144472
308022,10120,rocketfuel-bb-AS-1755,20,20,16,1,timeout,87,161,0,22701,13,1,False,6327657,144472
