container_memory,total_time,total_mem,network
153984,63100000,31216,as-733
2114072,4818000000,1851920,as-733
152380,48960000,26784,rocketfuel-bb-AS-1221
465160,682400000,269400,rocketfuel-bb-AS-1239
131528,51300000,26784,rocketfuel-bb-AS-1755
229372,107930000,49404,rocketfuel-bb-AS-3257
120300,49380000,26928,rocketfuel-bb-AS-3967
219748,145690000,57920,rocketfuel-bb-AS-6461
