overall_lat,rewind_lat,rewind_injections,pkt_lat,drop_lat,timeout,lbs,servers,algorithm,procs,drop_method,num_nodes,num_links,num_updates,total_conn,invariant,independent_cec,violated
159565,8,-1,135,0,223,4,4,sh,1,timeout,26,25,0,128,1,1,False
2087129,1910220,4,158,0,216,4,4,sh,1,timeout,26,25,0,128,1,1,False
167797,8,-1,162,0,218,4,4,sh,1,timeout,26,25,0,128,1,1,False
2428993,2241275,3,131,0,233,4,4,sh,1,timeout,26,25,0,128,1,1,False
348748,8,-1,133,0,226,4,4,sh,1,timeout,26,25,0,128,1,1,False
185937,4,-1,139,0,220,4,4,sh,1,timeout,26,25,0,128,1,1,False
2211363,1984532,4,131,0,235,4,4,sh,1,timeout,26,25,0,128,1,1,False
184517,7,-1,111,0,221,4,4,sh,1,timeout,26,25,0,128,1,1,False
1981496,1813096,1,102,0,245,4,4,sh,1,timeout,26,25,0,128,1,1,False
159841,4,-1,116,0,245,4,4,sh,1,timeout,26,25,0,128,1,1,False
177453,8,-1,133,0,229,4,4,sh,1,timeout,26,25,0,128,1,1,False
201112,8,-1,113,0,220,4,4,sh,1,timeout,26,25,0,128,1,1,False
201155,7,-1,138,0,213,4,4,sh,1,timeout,26,25,0,128,1,1,False
2070923,1893067,4,108,0,201,4,4,sh,1,timeout,26,25,0,128,1,1,False
167695,8,-1,137,0,198,4,4,sh,1,timeout,26,25,0,128,1,1,False
2209362,2041082,3,157,0,213,4,4,sh,1,timeout,26,25,0,128,1,1,False
175979,8,-1,128,0,228,4,4,sh,1,timeout,26,25,0,128,1,1,False
192784,7,-1,134,0,217,4,4,sh,1,timeout,26,25,0,128,1,1,False
2295850,2110637,4,146,0,189,4,4,sh,1,timeout,26,25,0,128,1,1,False
167839,8,-1,154,0,197,4,4,sh,1,timeout,26,25,0,128,1,1,False
2259731,2082816,3,104,0,201,4,4,sh,1,timeout,26,25,0,128,1,1,False
159430,8,-1,133,0,210,4,4,sh,1,timeout,26,25,0,128,1,1,False
252444,7,-1,104,0,200,4,4,sh,1,timeout,26,25,0,128,1,1,False
2136038,1959209,4,100,0,188,4,4,sh,1,timeout,26,25,0,128,1,1,False
201079,7,-1,141,0,194,4,4,sh,1,timeout,26,25,0,128,1,1,False
2041104,1881076,2,136,0,246,4,4,sh,1,timeout,26,25,0,128,1,1,False
168925,9,-1,136,0,226,4,4,sh,1,timeout,26,25,0,128,1,1,False
251354,8,-1,142,0,211,4,4,sh,1,timeout,26,25,0,128,1,1,False
159560,8,-1,147,0,207,4,4,sh,1,timeout,26,25,0,128,1,1,False
2086002,1925843,4,136,0,225,4,4,sh,1,timeout,26,25,0,128,1,1,False
152214,7,-1,143,0,219,4,4,sh,1,timeout,26,25,0,128,1,1,False
1976161,1740897,3,130,0,219,4,4,sh,1,timeout,26,25,0,128,1,1,False
417844,8,-1,138,0,209,4,4,sh,1,timeout,26,25,0,128,1,1,False
167897,7,-1,112,0,199,4,4,sh,1,timeout,26,25,0,128,1,1,False
2166768,2005515,4,131,0,220,4,4,sh,1,timeout,26,25,0,128,1,1,False
159328,8,-1,113,0,214,4,4,sh,1,timeout,26,25,0,128,1,1,False
1976361,1816087,3,183,0,218,4,4,sh,1,timeout,26,25,0,128,1,1,False
167819,7,-1,130,0,258,4,4,sh,1,timeout,26,25,0,128,1,1,False
159446,8,-1,149,0,246,4,4,sh,1,timeout,26,25,0,128,1,1,False
2620481,2451912,4,159,0,222,4,4,sh,1,timeout,26,25,0,128,1,1,False
167690,8,-1,131,0,224,4,4,sh,1,timeout,26,25,0,128,1,1,False
1815853,1597228,2,115,0,207,4,4,sh,1,timeout,26,25,0,128,1,1,False
167826,22,-1,139,0,221,4,4,sh,1,timeout,26,25,0,128,1,1,False
177321,8,-1,158,0,211,4,4,sh,1,timeout,26,25,0,128,1,1,False
176343,8,-1,96,0,214,4,4,sh,1,timeout,26,25,0,128,1,1,False
2610966,2434107,4,164,0,232,4,4,sh,1,timeout,26,25,0,128,1,1,False
167917,8,-1,136,0,254,4,4,sh,1,timeout,26,25,0,128,1,1,False
2018560,1832241,3,129,0,256,4,4,sh,1,timeout,26,25,0,128,1,1,False
184473,8,-1,112,0,244,4,4,sh,1,timeout,26,25,0,128,1,1,False
159490,7,-1,158,0,244,4,4,sh,1,timeout,26,25,0,128,1,1,False
2461148,2259301,4,135,0,239,4,4,sh,1,timeout,26,25,0,128,1,1,False
177276,8,-1,133,0,224,4,4,sh,1,timeout,26,25,0,128,1,1,False
1951094,1740961,3,153,0,247,4,4,sh,1,timeout,26,25,0,128,1,1,False
167627,7,-1,124,0,239,4,4,sh,1,timeout,26,25,0,128,1,1,False
176244,7,-1,151,0,235,4,4,sh,1,timeout,26,25,0,128,1,1,False
2312577,1978549,4,156,0,218,4,4,sh,1,timeout,26,25,0,128,1,1,False
159387,8,-1,139,0,221,4,4,sh,1,timeout,26,25,0,128,1,1,False
1716220,1555966,2,139,0,217,4,4,sh,1,timeout,26,25,0,128,1,1,False
176101,7,-1,160,0,211,4,4,sh,1,timeout,26,25,0,128,1,1,False
209479,8,-1,159,0,213,4,4,sh,1,timeout,26,25,0,128,1,1,False
185466,7,-1,158,0,215,4,4,sh,1,timeout,26,25,0,128,1,1,False
2061521,1901330,4,157,0,233,4,4,sh,1,timeout,26,25,0,128,1,1,False
159541,9,-1,136,0,235,4,4,sh,1,timeout,26,25,0,128,1,1,False
2202560,1957987,3,131,0,218,4,4,sh,1,timeout,26,25,0,128,1,1,False
209409,7,-1,117,0,212,4,4,sh,1,timeout,26,25,0,128,1,1,False
234645,7,-1,152,0,213,4,4,sh,1,timeout,26,25,0,128,1,1,False
